Entity,Code,Year,Infant mortality rate
With vaccines,,1974,10.06
With vaccines,,1975,9.91
With vaccines,,1976,9.77
With vaccines,,1977,9.54
With vaccines,,1978,9.33
With vaccines,,1979,9.1
With vaccines,,1980,8.83
With vaccines,,1981,8.58
With vaccines,,1982,8.35
With vaccines,,1983,8.09
With vaccines,,1984,8.07
With vaccines,,1985,7.88
With vaccines,,1986,7.68
With vaccines,,1987,7.45
With vaccines,,1988,7.22
With vaccines,,1989,7.18
With vaccines,,1990,6.97
With vaccines,,1991,6.82
With vaccines,,1992,6.84
With vaccines,,1993,6.75
With vaccines,,1994,6.61
With vaccines,,1995,6.49
With vaccines,,1996,6.39
With vaccines,,1997,6.25
With vaccines,,1998,6.11
With vaccines,,1999,5.98
With vaccines,,2000,5.79
With vaccines,,2001,5.58
With vaccines,,2002,5.42
With vaccines,,2003,5.24
With vaccines,,2004,5.04
With vaccines,,2005,4.86
With vaccines,,2006,4.67
With vaccines,,2007,4.48
With vaccines,,2008,4.3
With vaccines,,2009,4.14
With vaccines,,2010,3.98
With vaccines,,2011,3.85
With vaccines,,2012,3.71
With vaccines,,2013,3.55
With vaccines,,2014,3.46
With vaccines,,2015,3.33
With vaccines,,2016,3.24
With vaccines,,2017,3.13
With vaccines,,2018,3.04
With vaccines,,2019,3.01
With vaccines,,2020,2.95
With vaccines,,2021,2.92
With vaccines,,2022,2.87
With vaccines,,2023,2.83
With vaccines,,2024,2.75
Without vaccines,,1974,10.25
Without vaccines,,1975,10.22
Without vaccines,,1976,10.02
Without vaccines,,1977,9.85
Without vaccines,,1978,9.75
Without vaccines,,1979,9.59
Without vaccines,,1980,9.42
Without vaccines,,1981,9.32
Without vaccines,,1982,8.96
Without vaccines,,1983,8.78
Without vaccines,,1984,8.97
Without vaccines,,1985,8.88
Without vaccines,,1986,8.72
Without vaccines,,1987,8.82
Without vaccines,,1988,8.54
Without vaccines,,1989,8.8
Without vaccines,,1990,8.59
Without vaccines,,1991,8.41
Without vaccines,,1992,8.46
Without vaccines,,1993,8.45
Without vaccines,,1994,8.28
Without vaccines,,1995,8.2
Without vaccines,,1996,8.04
Without vaccines,,1997,7.9
Without vaccines,,1998,7.76
Without vaccines,,1999,7.68
Without vaccines,,2000,7.49
Without vaccines,,2001,7.28
Without vaccines,,2002,7.18
Without vaccines,,2003,6.95
Without vaccines,,2004,6.83
Without vaccines,,2005,6.72
Without vaccines,,2006,6.57
Without vaccines,,2007,6.45
Without vaccines,,2008,6.32
Without vaccines,,2009,6.18
Without vaccines,,2010,6.09
Without vaccines,,2011,5.9
Without vaccines,,2012,5.77
Without vaccines,,2013,5.58
Without vaccines,,2014,5.49
Without vaccines,,2015,5.32
Without vaccines,,2016,5.31
Without vaccines,,2017,5.16
Without vaccines,,2018,5.05
Without vaccines,,2019,5.02
Without vaccines,,2020,4.94
Without vaccines,,2021,4.89
Without vaccines,,2022,4.88
Without vaccines,,2023,4.82
Without vaccines,,2024,4.67
